URL,sales_rank,overall_rating,discount_value,discount_rate,feature1,answered_ques,positive,negative,exchange,emi,No_of_people,customer_reviews,most_helpful,bank_offer,months,5_rating,4_rating,3_rating,2_rating,1_rating,feature2,feature3
https://www.amazon.in/Mi-Redmi-4-Gold-64GB/dp/B01NAKU37U/ref=sr_1_181?s=electronics&amp;ie=UTF8&amp;qid=1552746012&amp;sr=1-181&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,228,3.9,0,0,4.1,1000,73,19,1,1,13,62257,4,1,19,50,23,8,4,15,4,4
https://www.amazon.in/Moto-Plus-4th-Gen-Black/dp/B01DDP7GZK/ref=sr_1_127?s=electronics&amp;ie=UTF8&amp;qid=1552745211&amp;sr=1-127&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,146,3.4,4112,27,3.9,1000,59,31,1,1,84,53199,1,1,26,37,22,10,7,24,3.9,3.9
https://www.amazon.in/Moto-Plus-4th-Gen-White/dp/B01DDP85BY/ref=sr_1_239?s=electronics&amp;ie=UTF8&amp;qid=1552748147&amp;sr=1-239&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,329,3.4,1249,10,3.9,1000,59,31,1,1,84,53199,1,1,1-Jan-17,37,22,10,7,24,3.9,3.9
https://www.amazon.in/Lenovo-Vibe-K4-Note-White/dp/B01BHUN4S6/ref=sr_1_281?s=electronics&amp;ie=UTF8&amp;qid=1552748958&amp;sr=1-281&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,474,3.8,2109,18,4.3,1000,68,21,1,1,16,29617,1,1,1-Jan-17,42,26,11,6,15,4.1,4
https://www.amazon.in/Redmi-Gold-4GB-64GB-Storage/dp/B077Q44DKY/ref=sr_1_70?s=electronics&amp;ie=UTF8&amp;qid=1552739092&amp;sr=1-70&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,76,4.3,2500,19,4.2,1000,85,8,1,1,193,24574,1,1,6,59,26,7,2,6,4.2,4
https://www.amazon.in/Redmi-Dark-Grey-64GB-Storage/dp/B077PWBDV3/ref=sr_1_83?s=electronics&amp;ie=UTF8&amp;qid=1552739719&amp;sr=1-83&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,83,4.3,2500,19,4.2,1000,85,8,1,1,193,24574,1,1,8,59,26,7,2,6,4.2,4
https://www.amazon.in/Redmi-Rose-Gold-64GB-Storage/dp/B077Q44CL8/ref=sr_1_89?s=electronics&amp;ie=UTF8&amp;qid=1552739719&amp;sr=1-89&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,114,4.3,2500,19,4.2,1000,85,8,1,1,193,24574,1,1,9,59,26,7,2,6,4.2,4
https://www.amazon.in/Redmi-Blue-4GB-64GB-Storage/dp/B07DJD4L1M/ref=sr_1_102?s=electronics&amp;ie=UTF8&amp;qid=1552740213&amp;sr=1-102&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,133,4.3,2500,19,4.2,1000,85,8,1,1,193,24574,1,1,4,59,26,7,2,6,4.2,4
https://www.amazon.in/Redmi-Blue-3GB-32GB-Storage/dp/B0784D8632/ref=sr_1_29?s=electronics&amp;ie=UTF8&amp;qid=1552738606&amp;sr=1-29&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,41,4.3,1500,14,4.2,1000,85,7,1,1,193,24574,1,1,5,59,26,7,2,5,4.2,4
https://www.amazon.in/OnePlus-Mirror-Black-64GB-Storage/dp/B0756Z43QS/ref=sr_1_129?s=electronics&amp;ie=UTF8&amp;qid=1552745211&amp;sr=1-129&amp;refinements=p_n_condition-type3A86099600312Cp_n_operating_system_browse-bin3A1485077031,172,4.5,0,0,4.6,1000,90,7,1,1,58,23822,4,1,10,75,15,3,2,5,4.4,4.3
