sales_rank,overall_rating,positive,negative,no_of_reviews,discount_value,discount_rate
2.0,4.5,89.0,6.0,4949.0,124.0,62.0
12.0,4.7,92.0,4.0,846.0,100.0,40.0
3.0,4.1,74.0,14.0,1462.0,81.0,41.0
10.0,4.3,83.0,12.0,1154.0,220.0,44.0
1.0,4.2,80.0,9.0,510.0,11.0,37.0
15.0,4.5,90.0,6.0,3552.0,166.0,42.0
5.0,4.6,91.0,5.0,3581.0,80.0,53.0
73.0,4.4,86.0,6.0,356.0,121.0,48.0
41.0,3.4,52.0,31.0,226.0,155.0,48.0
4.0,4.7,97.0,5.0,32.0,50.0,14.0
6.0,4.2,79.0,18.0,126.0,141.0,40.0
28.0,4.6,92.0,4.0,742.0,81.0,41.0
35.0,4.5,90.0,5.0,2908.0,56.0,28.0
25.0,4.7,93.0,4.0,1243.0,125.0,42.0
63.0,4.5,90.0,4.0,529.0,68.0,34.0
52.0,4.6,91.0,5.0,2127.0,145.0,37.0
